Difficulty,Question,Answer,Hint
1,2x + 3 = 7,2,Isolate 2x by subtracting 3 from both sides
1,2x + 2 = 8,3,Isolate 5x by adding 2 to both sides
1,2x + 5 = 11,3,Isolate 2x by subtracting 5 from both sides
1,2x + 2 = 6,2,Isolate 2x by subtracting 2 from both sides
1,2x + 5 = 7,1,Isolate 2x by subtracting 5 from both sides
1,2x + 9 = 9,0,Isolate 2x by subtracting 9 from both sides
1,2x + 6 = 8,1,Isolate 2x by subtracting 6 from both sides
1,2x - 2 = 6,4,Isolate 2x by adding 2 to both sides
1,2x - 7 = 7,7,Isolate 2x by adding 7 to both sides
1,3x + 1 = 10,3,Isolate 3x by subtracting 1 from both sides
1,3x + 3 = 9,2,Isolate 6x by subtracting 3 from both sides
1,3x - 1 = 8,3,Isolate 3x by subtracting 3 from both sides
1,3x - 4 = 11,5,Isolate 3x by adding 4 to both sides
1,3x - 6 = 12,6,Isolate 3x by adding 6 to both sides
1,4x + 5 = 17,3,Isolate 4x by subtracting 5 from both sides
1,4x + 5 = 9,1,Isolate 5x by subtracting 5 from both sides
1,4x + 3 = 15,3,Isolate 4x by subtracting 3 from both sides
1,4x - 3 = 5,2,Isolate 4x by adding 3 to both sides
1,4x - 13 = 3,4,Isolate 4x by adding 13 to both sides
1,4x - 5 = 7,3,Isolate 5x by adding 5 to both sides
2,5x + 13 = 23,2,Isolate 5x by subtracting 13 from both sides
2,5x + 11 = 31,4,Isolate 5x by subtracting 11 from both sides
2,5x - 20 = 5,5,Isolate 5x by adding 20 to both sides
2,-5x - 14 = 16,-6,Isolate -5x by adding 14 to both sides
2,-5x + 22 = 37,-3,Isolate 5x by subtracting 22 from both sides
2,6x + 14 = 26,2,Isolate 6x by subtracting 14 from both sides
2,6x - 10 = 20,5,Isolate 6x by adding 10 to both sides
2,-6x + 8 = 32,-4,Isolate 6x by subtracting 8 from both sides
2,7x + 12 = 47,5,Isolate 7x by subtracting 12 from both sides
2,7x - 14 = 0,2,Isolate 7x by adding 14 to both sides
2,-7x + 19 = 5,2,Isolate 7x by subtracting 19 from both sides
2,8x + 11 = 43,4,Isolate 8x by subtracting 11 from both sides
2,-8x - 13 = 35,6,Isolate -8x by adding 13 to both sides
2,9x + 9 = 0,-1,Isolate 9x by subtracting 9 from both sides
2,10x + 8 = -22,-3,Isolate 10x by subtracting 8 from both sides
2,-10x - 16 = 4,-2,Isolate -10x by adding 16 to both sides
2,12x + 17 = 65,4,Isolate 12x by subtracting 17 from both sides
2,14x - 23 = 19,3,Isolate 14x by adding 23 to both sides
2,-15x + 20 = 65,-3,Isolate -15x by subtracting 20 from both sides
2,20x - 30 = 50,4,Isolate 20x by adding 30 to both sides
3,15x + 34 = 139,7,Isolate 15x by subtracting 34 from both sides
3,15x - 22 = 53,5,Isolate 15x by adding 22 to both sides
3,18x + 26 = 80,3,Isolate 18x by subtracting 26 from both sides
3,20x + 28 = 128,5,Isolate 20x by subtracting 28 from both sides
3,20x - 31 = 109,7,Isolate 20x by adding 31 to both sides
3,22x + 30 = 74,2,Isolate 22x by subtracting 30 from both sides
3,25x + 41 = 116,3,Isolate 25x by subtracting 41 from both sides
3,30x - 26 = 124,5,Isolate 30x by adding 26 to both sides
3,ˣ⁄₂ + 11 = 13,4,Isolate ˣ⁄₂ by subtracting 11 from both sides
3,ˣ⁄₂ + 15 = 21,12,Isolate ˣ⁄₂ by subtracting 15 from both sides
3,ˣ⁄₂ + 18 = 7,-22,Isolate ˣ⁄₂ by subtracting 18 from both sides
3,ˣ⁄₂ - 10 = 10,40,Isolate ˣ⁄₂ by adding 10 to both sides
3,ˣ⁄₂ - 5 = 4,18,Isolate ˣ⁄₂ by adding 5 to both sides
3,ˣ⁄₃ + 15 = 15,0,Isolate ˣ⁄₃ by subtracting 15 from both sides
3,ˣ⁄₃ + 17 = 23,18,Isolate ˣ⁄₃ by subtracting 17 from both sides
3,ˣ⁄₃ + 22 = 31,27,Isolate ˣ⁄₃ by subtracting 22 from both sides
3,ˣ⁄₄ - 3 = 1,16,Isolate ˣ⁄₄ by adding 3 to both sides
3,ˣ⁄₄ - 5 = 2,28,Isolate ˣ⁄₄ by adding 5 to both sides
3,²ˣ⁄₃ + 16 = 24,12,Isolate ²ˣ⁄₃ by subtracting 16 from both sides
3,²ˣ⁄₅ - 5 = 3,20,Isolate ²ˣ⁄₅ by adding 5 to both sides
