Difficulty,Question,Answer,Hint
1,2x + 3 - x = 7,4,Combine like terms first (2x - x = x)
1,3x + 2 = x + 8,3,Move the x from the right side to the left
1,2(x + 1) = 10,4,Distribute the 2 first: 2x + 2 = 10
1,x + x + 5 = 13,4,Combine the x terms: 2x + 5 = 13
1,3x - x + 4 = 10,3,Simplify the left side first
1,3x + 5 - x = 13,4,Combine like terms first: 3x - x = 2x
1,4x - 2 = 3x + 3,5,Move 3x to the left side by subtracting it from both sides
1,5x + 1 = 2x + 10,3,Subtract 2x from both sides to get all x terms together
1,2x + 4 - x = 9,5,Simplify the left side: 2x - x = x
1,3(x + 2) = 15,3,Distribute the 3 first: 3x + 6 = 15
1,6x - 3 = 5x + 2,5,Move 5x to the left by subtracting it from both sides
1,4(x - 1) = 12,4,Distribute: 4x - 4 = 12
1,x + x + 3 = 11,4,Combine the x terms: 2x + 3 = 11
1,5x - 2 = 4x + 3,5,Get all variables on one side first
1,2(x + 3) = 14,4,Multiply out the parentheses: 2x + 6 = 14
1,4x + 6 - 2x = 10,2,Combine the x terms first (4x−2x=2x)
1,5x - 4 = 2x + 5,3,Subtract 2x from both sides to gather the x terms
1,3(x - 2) = 12,6,Distribute the 3: 3x−6=12
1,x + 2x+  7 = 19,4,Combine the x terms: 3x+7=19
1,7x + 1= 5x +7,3,Move 5x to the left side by subtracting it
1,2(x + 5) = 18,4,Distribute the 2 first: 2x+10=18
1,6x - x + 1= 21,4,Simplify the left side by combining x terms
1,3x + 9 = x + 15,3,Subtract x from both sides to get variables on the left
1,5x - 3x + 2 = 8,3,Combine like terms on the left: 2x+2=8
1,2x + 7 = 5x - 5,4,Move 2x to the right side by subtracting it from both sides
2,3(x - 2) + 4 = 16,6,Distribute first: 3x - 6 + 4 = 16
2,2x + 5 = 3x - 1,6,Move all x terms to one side
2,4(x + 3) - 2x = 20,4,Distribute then combine: 4x + 12 - 2x = 20
2,5x - 2(x + 1) = 10,4,Distribute the -2: 5x - 2x - 2 = 10
2,2(x + 3) = x + 11,5,Distribute then move x to one side
2,2(x + 4) + 3 = 19,4,Distribute first: 2x + 8 + 3 = 19
2,3x + 7 = 2x + 12,5,Move 2x to the left side to isolate x
2,5(x - 1) - 3x = 9,7,Distribute then combine like terms: 5x - 5 - 3x = 9
2,4x - 6 = 2x + 8,7,Subtract 2x from both sides first
2,3(x + 2) - x = 14,4,Distribute: 3x + 6 - x = 14 then combine terms
2,6x - 4 = 4x + 10,7,Move all x terms to one side
2,2(x - 3) + 5 = 13,8,Expand the parentheses: 2x - 6 + 5 = 13
2,5x + 2 = 3x + 14,6,Subtract 3x from both sides to collect x terms
2,4(x + 1) - 2x = 18,7,Distribute: 4x + 4 - 2x = 18 then simplify
2,3(x - 2) + 2x = 19,5,Distribute first: 3x - 6 + 2x = 19
2,4(x - 3) + x = 18,6,Distribute the 4: 4x−12+x=18
2,3x - 2 = x + 10,6,Subtract x from both sides to gather x terms
2,2(x + 5) - 3 = 15,4,Distribute the 2: 2x+10−3=15
2,7x + 1 = 4x + 13,4,Move 4x to the left side by subtracting
2,5(x + 2) = 3x + 16,3,Distribute the 5: 5x+10=3x+16
2,6x - 3(x - 1) = 15,4,Distribute the −3: 6x−3x+3=15
2,2x + 11 = 5x - 4,5,Move 2x to the right side to get a positive x term
2,4(x - 1) + 2x = 14,3,Distribute the 4: 4x−4+2x=14
2,2x + 8 = 4x - 6,7,"Subtract 2x from both sides, then add 6 to both sides"
2,3(x + 4) - 5x = 0,6,Distribute the 3: 3x+12−5x=0 and combine like terms
3,2(3x - 1) + 3(x + 2) = 25,3,Distribute both: 6x - 2 + 3x + 6 = 25
3,5x - 3(x - 4) = 2x + 8,4,Distribute the -3: 5x - 3x + 12 = 2x + 8
3,3(2x + 1) - 2(x - 3) = 21,3,Distribute both: 6x + 3 - 2x + 6 = 21
3,4(x - 2) + 2(x + 3) = 20,4,Expand both: 4x - 8 + 2x + 6 = 20
3,2(2x + 3) - (x - 4) = 23,3,Careful with the negative sign when distributing
3,4(2x + 1) + 2(x - 3) = 28,3,Distribute both: 8x + 4 + 2x - 6 = 28
3,3(x + 4) - 2(x - 1) = 22,8,Expand both parentheses: 3x + 12 - 2x + 2 = 22
3,2(3x - 2) + 4(x + 1) = 30,3,Distribute both: 6x - 4 + 4x + 4 = 30
3,5(x - 2) - 3(x + 1) = 1,7,Distribute both: 5x - 10 - 3x - 3 = 1
3,4(2x + 3) - 3(x - 2) = 38,4,Expand both: 8x + 12 - 3x + 6 = 38
3,2(4x - 1) + 3(2x + 3) = 45,3,Distribute both: 8x - 2 + 6x + 9 = 45
3,6x - 2(2x - 5) = 3x + 14,4,Distribute the -2: 6x - 4x + 10 = 3x + 14
3,3(2x + 5) - 2(3x - 1) = 17,0,Expand both: 6x + 15 - 6x + 2 = 17
3,5(x + 2) - 2(2x - 3) = 20,4,Distribute both: 5x + 10 - 4x + 6 = 20
3,4(x - 3) + 3(2x + 1) = 25,4,Expand both: 4x - 12 + 6x + 3 = 25
3,2(4x - 1) + 3(x + 2) = 37,3,Distribute both: 8x−2+3x+6=37
3,5x - 2(x + 7) = 2x - 1,13,Distribute the −2: 5x−2x−14=2x−1
3,4(3x - 5) - 2(2x + 1) = 10,4,Expand both: 12x−20−4x−2=10
3,4(2x + 1) + 2 = 3(3x + 1),3,"Distribute: 8x+6=9x+3, then move x terms"
3,2(5x + 4) - 7x = 17,3,Distribute the 2: 10x+8−7x=17
3,5(x + 2) - 2(x + 4) = 11,3,Expand both: 5x+10−2x−8=11
3,3(2x + 5) = 4(x + 7) - 1,6,Distribute both: 6x+15=4x+27
3,7x - 3(x - 2) = 2(x + 5) + 4,4,Distribute the −3 and the 2: 4x+6=2x+14
3,6(x - 1) + 2x = 3(x + 8) + 5,7,Distribute and combine: 8x−6=3x+29
3,2(3x + 1) - 4 = 5(x + 1),7,Distribute first: 6x−2=5x+5
