Difficulty,Question,Answer,Hint
1,7x - 2x = ?,5x,How many x's are left after subtracting 2 from 7
1,10x + 4x = ?,14x,How many x's are there adding 10 and 4
1,8x - 3x + 1 = ?,5x+1,How many x's are left after subtracting 3 from 8
1,6x + 9 - 2x = ?,4x+9,How many x's are left after subtracting 2 from 6
1,x + 5x + 10 = ?,6x+10,How many x's are there adding 10 and 4
1,12x - 5x - 3 = ?,7x-3,How many x's are left after subtracting 5 from 12
1,x + 7 + 2x = ?,3x+7,How many x's are there adding 1 and 2
1,4x + 8 + 6x = ?,10x+8,How many x's are there adding 4 and 6
1,11x - x - 4 = ?,10x-4,How many x's are left after subtracting 4 from 11
1,3x + 4x + 12 = ?,7x+12,How many x's are there adding 3 and 4
1,9x + 5 - 8x = ?,x+5,How many x's are left after subtracting 8 from 9
1,7x - 4x + 15 = ?,3x+15,How many x's are left after subtracting 4 from 7
1,13x - 6x + 2 = ?,7x+2,How many x's are left after subtracting 6 from 13
1,8 + 3x + x = ?,4x+8,How many x's are there adding 3 and 1
1,5x + 11 - 5x = ?,11,The x terms cancel each other out
1,x + x + 6 = ?,2x+6,How many x's are there adding 1 and 1
1,2x + 9x - 7 = ?,11x-7,How many x's are there adding 2 and 0
1,14y - 10y + 5 = ?,4y+5,How many y's are left after subtracting 10 from 14
1,2 + 6y + 3y = ?,9y+2,How many y's are there adding 6 and 3
1,3y - y + 1 = ?,2y+1,How many y's are left after subtracting 1 from 3
1,15y + 3 - 5y = ?,10y+3,How many y's are left after subtracting 5 from 15
1,2y + 8 + 3y = ?,5y+8,How many y's are there adding 2 and 3
1,4y - 4y + 7 = ?,7,The y terms cancel each other out
2,3(x + 2) + 2x,5x+6,Distribute the 3 first then combine x terms
2,2(x + 4) + 3x,5x+8,Multiply 2 by everything in parentheses first
2,4(x - 1) + 5x,9x-4,Distribute 4 then add the x terms together
2,5x + 3 - 2x + 7,3x+10,Combine x terms separately from the numbers
2,3(2x + 1) + x,7x+3,Distribute 3 to get 6x then add the extra x
2,2(x - 3) + 4x,6x-6,Distribute first then combine like terms
2,6x + 5 - 3x + 2,3x+7,Group x terms and constants separately
2,4(x + 2) - x,3x+8,Distribute then subtract x from the result
2,3(x - 2) + 8,3x+2,Multiply out the parentheses then add 8
2,5x - 2 + 3x + 6,8x+4,Combine the x terms and the constant terms
2,2(3x + 1) + 4,6x+6,Distribute 2 to both terms in parentheses
2,4x + 7 - x + 3,3x+10,How many x terms are left after combining
2,3(x + 3) + 4x,7x+9,Distribute first then add all x terms
2,5(x - 1) + 2x,7x-5,Multiply 5 by each term then combine x's
2,7x + 4 - 4x + 5,3x+9,Combine like terms on both sides
2,2(2x + 3) + 3x,7x+6,Distribute to get 4x then add 3x
2,6x - 3 + 2x + 8,8x+5,Group x terms together and numbers together
2,4(x + 1) + x,5x+4,Distribute 4 then add the remaining x
2,3(x - 4) + 7,3x-5,Multiply out then combine the constants
2,8x + 2 - 5x + 6,3x+8,How many x's are left after subtracting 5x from 8x
2,2(x + 5) + 4x,6x+10,Distribute first then combine all x terms
2,5(x + 2) - 3x,2x+10,Distribute then subtract 3x from the result
2,4x + 6 - 2x + 9,2x+15,Combine x terms and constants separately
2,3(2x - 1) + 5,6x+2,Distribute 3 to both terms then add 5
2,9x - 4 + x + 7,10x+3,How many x's total when adding 9x and x
3,2(3x + 1) + 3(x - 2),9x-4,Distribute both 2 and 3 then combine all x terms
3,4(2x - 3) + 2(x + 5),10x-2,Distribute to both parentheses then combine like terms
3,3(x + 4) - 2(x - 1),x+14,Distribute 3 and -2 then combine x terms
3,5x - 2(x - 3) + 4x,7x+6,Distribute -2 first then combine all x terms
3,2(4x + 2) - 3(x - 4),5x+16,Distribute both then subtract the second result
3,3(2x + 5) - 2(x - 1) + x,5x+17,Distribute both then add the extra x at the end
3,4(x - 2) + 3(2x + 1) - x,9x-5,Distribute to both sets of parentheses then combine
3,5(x + 3) - 2(2x - 1) + 3x,6x+17,Distribute 5 and -2 then add the remaining 3x
3,2(3x - 4) + 4(x + 2) - 2x,8x,Distribute both then combine all terms including -2x
3,3(2x + 3) - (x - 5) + 2x,7x+14,Remember to distribute -1 to the second parentheses
3,6x - 3(x + 2) + 2(2x - 1),7x-8,Distribute -3 and 2 then combine all x terms
3,4(x + 3) - 2(3x - 2) + 5x,7x+16,Distribute both numbers then combine like terms
3,2(5x - 1) + 3(x - 4) - 4x,9x-14,Distribute to both parentheses then subtract 4x
3,3(x - 5) + 4(2x + 1) - 2x,9x-11,Distribute 3 and 4 then combine with -2x
3,5(2x + 1) - 3(x - 2) + x,8x+11,Distribute both then add the remaining x term
3,2(4x + 3) - (2x - 5) + 3x,9x+11,Distribute 2 and -1 then combine all x terms
3,4(x + 2) + 2(3x - 4) - 5x,5x,Distribute both then combine including the -5x
3,3(3x - 2) - 2(2x + 3) + 4x,9x-12,Distribute to both sets then add 4x at the end
3,6(x + 1) - 4(x - 2) + 2x,4x+14,Distribute 6 and -4 then combine with 2x
3,2(2x + 5) + 3(3x - 1) - x,12x+7,Distribute both then subtract x from the result
3,5(x - 3) - 2(x + 4) + 6x,9x-23,Distribute 5 and -2 then add the 6x term
3,3(4x + 2) - 2(3x - 5) + x,7x+16,Distribute to both parentheses then add x
3,4(2x - 1) + 5(x + 3) - 3x,10x+11,Distribute 4 and 5 then combine with -3x
3,2(x + 6) - 3(2x - 1) + 7x,5x+15,Distribute both then combine all x terms together
3,6(x - 2) + 2(2x + 5) - 4x,6x-2,Distribute to both sets then subtract 4x from result
